vessel_id,user_id,vessel_size_class,home_port,registered_language,current_lat,current_lon,last_updated_timestamp,contact_number
IND-VES-1001,USR-5001,Mechanized Trawler,Kochi,ml,10.0101,76.3669,2026-09-06T23:47:53Z,916723567948
IND-VES-1002,USR-5002,Deep Sea Vessel,New Mangalore,ml,12.9694,74.7323,2026-09-07T05:39:53Z,917514645335
IND-VES-1003,USR-5003,Mechanized Trawler,Mumbai,bn,18.9693,72.9399,2026-09-07T02:45:53Z,919597982339
IND-VES-1004,USR-5004,Mechanized Trawler,Marmagao,kn,15.2717,73.7359,2026-09-07T00:48:53Z,917952686013
IND-VES-1005,USR-5005,Motorized Artisanal,Kochi,ml,10.0944,76.2215,2026-09-07T04:23:53Z,918647955573
IND-VES-1006,USR-5006,Mechanized Trawler,Visakhapatnam,bn,17.7282,83.1758,2026-09-06T23:40:53Z,916983170275
IND-VES-1007,USR-5007,Motorized Artisanal,Marmagao,bn,15.2658,73.7728,2026-09-07T05:32:53Z,919551283388
IND-VES-1008,USR-5008,Small Non-Motorized,Visakhapatnam,ml,17.7109,83.2374,2026-09-07T07:49:53Z,917596040670
IND-VES-1009,USR-5009,Motorized Artisanal,New Mangalore,ta,12.9417,74.7813,2026-09-06T21:34:53Z,916041568420
IND-VES-1010,USR-5010,Deep Sea Vessel,Kochi,kn,10.053,76.3888,2026-09-06T20:54:53Z,918794748707
IND-VES-1011,USR-5011,Small Non-Motorized,New Mangalore,bn,13.0604,74.815,2026-09-06T23:36:53Z,919066206351
IND-VES-1012,USR-5012,Deep Sea Vessel,Mumbai,te,19.019,72.7607,2026-09-07T05:51:53Z,919526324990
IND-VES-1013,USR-5013,Mechanized Trawler,Chennai,mr,13.0871,80.2001,2026-09-07T07:36:53Z,917427601304
IND-VES-1014,USR-5014,Mechanized Trawler,Mumbai,mr,18.8472,72.8292,2026-09-07T07:11:53Z,919214934690
IND-VES-1015,USR-5015,Mechanized Trawler,Chennai,bn,13.1914,80.3581,2026-09-07T06:10:53Z,918853565938
IND-VES-1016,USR-5016,Mechanized Trawler,Marmagao,gu,15.4039,73.8608,2026-09-07T08:28:53Z,918350789807
IND-VES-1017,USR-5017,Motorized Artisanal,New Mangalore,te,12.8288,74.7611,2026-09-06T22:22:53Z,916035622243
IND-VES-1018,USR-5018,Motorized Artisanal,New Mangalore,ml,12.961,74.8574,2026-09-07T05:23:53Z,916328854439
IND-VES-1019,USR-5019,Deep Sea Vessel,Visakhapatnam,kn,17.7462,83.1695,2026-09-06T21:11:53Z,917982083085
IND-VES-1020,USR-5020,Small Non-Motorized,Chennai,ml,13.1281,80.2957,2026-09-07T08:44:53Z,918555156951
IND-VES-1021,USR-5021,Deep Sea Vessel,Mumbai,te,18.8646,72.8309,2026-09-07T03:47:53Z,918207224774
IND-VES-1022,USR-5022,Mechanized Trawler,New Mangalore,kn,13.0421,74.8304,2026-09-06T21:45:53Z,918810572783
IND-VES-1023,USR-5023,Mechanized Trawler,Marmagao,te,15.4077,73.6978,2026-09-07T03:51:53Z,916102810981
IND-VES-1024,USR-5024,Deep Sea Vessel,Kochi,hi,9.8888,76.3376,2026-09-07T01:53:53Z,917349456811
IND-VES-1025,USR-5025,Small Non-Motorized,Chennai,te,13.0666,80.1642,2026-09-07T08:22:53Z,916653892674
IND-VES-1026,USR-5026,Deep Sea Vessel,Marmagao,hi,15.4828,73.8448,2026-09-07T02:05:53Z,916906943431
IND-VES-1027,USR-5027,Deep Sea Vessel,New Mangalore,ml,13.0682,74.9242,2026-09-07T07:46:53Z,918525187710
IND-VES-1028,USR-5028,Deep Sea Vessel,Marmagao,te,15.496,73.9424,2026-09-07T01:24:53Z,916289264966
IND-VES-1029,USR-5029,Deep Sea Vessel,Mumbai,ta,18.8501,72.8132,2026-09-06T23:49:53Z,918938235545
IND-VES-1030,USR-5030,Motorized Artisanal,New Mangalore,ta,13.0205,74.8697,2026-09-06T21:35:53Z,917973087229
IND-VES-1031,USR-5031,Deep Sea Vessel,New Mangalore,ml,13.0316,74.9266,2026-09-07T08:16:53Z,916045523404
IND-VES-1032,USR-5032,Small Non-Motorized,Visakhapatnam,hi,17.6701,83.1263,2026-09-06T21:08:53Z,917254887877
IND-VES-1033,USR-5033,Small Non-Motorized,Chennai,te,13.1186,80.3017,2026-09-07T01:33:53Z,916812949789
IND-VES-1034,USR-5034,Mechanized Trawler,Mumbai,ml,19.079,72.7351,2026-09-07T03:43:53Z,916431731714
IND-VES-1035,USR-5035,Motorized Artisanal,Chennai,te,13.1326,80.379,2026-09-07T08:31:53Z,917333710628
IND-VES-1036,USR-5036,Small Non-Motorized,Marmagao,hi,15.4095,73.7276,2026-09-07T07:16:53Z,916718599985
IND-VES-1037,USR-5037,Motorized Artisanal,New Mangalore,te,12.9533,74.8165,2026-09-07T03:56:53Z,918769958982
IND-VES-1038,USR-5038,Small Non-Motorized,Marmagao,hi,15.502,73.7617,2026-09-06T23:18:53Z,919865981656
IND-VES-1039,USR-5039,Motorized Artisanal,Marmagao,gu,15.3435,73.6945,2026-09-06T21:20:53Z,919229458096
IND-VES-1040,USR-5040,Motorized Artisanal,Kochi,ta,10.0433,76.1664,2026-09-06T22:09:53Z,918507091785
IND-VES-1041,USR-5041,Small Non-Motorized,Kochi,kn,9.8834,76.2968,2026-09-06T21:12:53Z,919138887642
IND-VES-1042,USR-5042,Small Non-Motorized,Chennai,bn,13.0408,80.1711,2026-09-07T00:02:53Z,918589589695
IND-VES-1043,USR-5043,Deep Sea Vessel,Kochi,gu,9.9091,76.2547,2026-09-07T05:19:53Z,919132343387
